,Unnamed: 0,time,density,heading,latitude,longitude,passID,speed,temperature
110300,110300,2022-09-29 19:01:42.945000+00:00,94.16,-90.0,37.819073,-121.289106,48.0,3.096,167.90814876556396
110301,110301,2022-09-29 19:01:43.073000+00:00,94.16,-90.0,37.819073,-121.289106,48.0,3.096,167.78665587306023
110302,110302,2022-09-29 19:01:43.201000+00:00,94.16,-90.0,37.819073,-121.289106,48.0,3.096,167.81094998121262
110303,110303,2022-09-29 19:01:43.329000+00:00,95.26,-90.0,37.819073,-121.289106,48.0,3.096,167.61655017733574
110304,110304,2022-09-29 19:01:43.457000+00:00,91.84,-90.0,37.819073,-121.289106,48.0,3.096,167.08195574581623
110305,110305,2022-09-29 19:01:43.585000+00:00,94.16,-90.0,37.819073,-121.289106,48.0,3.096,165.30807681381702
110306,110306,2022-09-29 19:01:43.713000+00:00,90.53,-90.0,37.819073,-121.289106,48.0,3.096,164.9678810685873
110307,110307,2022-09-29 19:01:43.841000+00:00,95.26,-90.0,37.819073,-121.289106,48.0,3.096,163.50989930331707
110308,110308,2022-09-29 19:01:43.969000+00:00,94.16,-90.0,37.819073,-121.289122,48.0,3.05,163.09680446982384
110309,110309,2022-09-29 19:01:44.097000+00:00,94.16,-90.0,37.819073,-121.289122,48.0,3.05,163.1940032541752
110310,110310,2022-09-29 19:01:44.225000+00:00,95.26,-90.0,37.819073,-121.289122,48.0,3.05,164.117391705513
110311,110311,2022-09-29 19:01:44.353000+00:00,95.26,-90.0,37.819073,-121.289122,48.0,3.05,163.82579535245895
110312,110312,2022-09-29 19:01:44.481000+00:00,95.26,-90.0,37.819073,-121.289122,48.0,3.05,163.7285965681076
110313,110313,2022-09-29 19:01:44.609000+00:00,91.84,-90.0,37.819073,-121.289122,48.0,3.05,163.5341989994049
110314,110314,2022-09-29 19:01:44.737000+00:00,94.16,-90.0,37.819073,-121.289122,48.0,3.05,163.58279839158058
110315,110315,2022-09-29 19:01:44.865000+00:00,94.16,-90.0,37.819073,-121.289122,48.0,3.05,164.02019292116165
