time,density,heading,latitude,longitude,passID,speed,temperature
2022-09-29 13:48:53.222000+00:00,94.26,180,0,0,0,0,101.1317144
2022-09-29 13:48:53.350000+00:00,89.53,180,0,0,0,0,100.1597244
2022-09-29 13:48:53.478000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.475626
2022-09-29 13:48:53.606000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.5242243
2022-09-29 13:48:53.734000+00:00,89.53,0,37.819975,-121.276682,0,0.035,101.5691146
2022-09-29 13:48:53.862000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.9373191
2022-09-29 13:48:53.990000+00:00,89.53,0,37.819975,-121.276682,0,0.035,101.8850084
2022-09-29 13:48:54.118000+00:00,89.53,0,37.819975,-121.276682,0,0.035,101.812107
2022-09-29 13:48:54.246000+00:00,89.53,0,37.819975,-121.276682,0,0.035,101.107417
2022-09-29 13:48:54.374000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.475626
2022-09-29 13:48:54.502000+00:00,89.53,0,37.819975,-121.276682,0,0.081,100.2569231
2022-09-29 13:48:54.630000+00:00,89.53,0,37.819975,-121.276682,0,0.081,101.1560197
2022-09-29 13:48:54.758000+00:00,89.53,0,37.819975,-121.276682,0,0.081,100.9859207
2022-09-29 13:48:54.886000+00:00,89.53,0,37.819975,-121.276682,0,0.081,100.7915209
2022-09-29 13:48:55.014000+00:00,89.53,0,37.819975,-121.276682,0,0.081,101.3990167
2022-09-29 13:48:55.142000+00:00,89.53,0,37.819975,-121.276682,0,0.081,101.3018134
2022-09-29 13:48:55.270000+00:00,89.53,0,37.819975,-121.276682,0,0.081,101.3747136
2022-09-29 13:48:55.398000+00:00,89.53,0,37.819975,-121.276682,0,0.081,101.2289188
2022-09-29 13:48:55.526000+00:00,89.53,0,37.819975,-121.276682,0,0.058,101.0831184
2022-09-29 13:48:55.654000+00:00,89.53,0,37.819975,-121.276682,0,0.058,101.0831184
2022-09-29 13:48:55.782000+00:00,89.53,0,37.819975,-121.276682,0,0.058,100.6214152
2022-09-29 13:48:55.910000+00:00,89.53,0,37.819975,-121.276682,0,0.058,101.0102215
2022-09-29 13:48:56.038000+00:00,89.53,0,37.819975,-121.276682,0,0.058,100.8644234
2022-09-29 13:48:56.166000+00:00,89.53,0,37.819975,-121.276682,0,0.058,101.0588209
2022-09-29 13:48:56.294000+00:00,89.53,0,37.819975,-121.276682,0,0.058,100.8887186
2022-09-29 13:48:56.422000+00:00,89.53,0,37.819975,-121.276682,0,0.058,101.5934142
2022-09-29 13:48:56.550000+00:00,89.53,0,37.819975,-121.276682,0,0.035,101.2046191
2022-09-29 13:48:56.678000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.3784261
2022-09-29 13:48:56.806000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.7672201
2022-09-29 13:48:56.934000+00:00,89.53,0,37.819975,-121.276682,0,0.035,101.690613
2022-09-29 13:48:57.062000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.3055304
2022-09-29 13:48:57.190000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.4513252
2022-09-29 13:48:57.318000+00:00,89.53,0,37.819975,-121.276682,0,0.035,99.96532567
2022-09-29 13:48:57.446000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.2326246
2022-09-29 13:48:57.574000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.3541286
2022-09-29 13:48:57.702000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.0868253
2022-09-29 13:48:57.830000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.5971189
2022-09-29 13:48:57.958000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.4513229
2022-09-29 13:48:58.086000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.038227
2022-09-29 13:48:58.214000+00:00,89.53,0,37.819975,-121.276682,0,0.035,100.4270232
2022-09-29 13:48:58.342000+00:00,89.53,0,37.819975,-121.276682,0,0.035,99.60082911
2022-09-29 13:48:58.470000+00:00,89.53,0,37.819975,-121.276682,0,0.046,100.6214242
2022-09-29 13:48:58.598000+00:00,89.53,0,37.819975,-121.276682,0,0.046,100.0139273
2022-09-29 13:48:58.726000+00:00,89.53,0,37.819975,-121.276682,0,0.046,99.84382719
2022-09-29 13:48:58.854000+00:00,89.53,0,37.819975,-121.276682,0,0.046,100.0868275
2022-09-29 14:53:51.278000+00:00,94.26,180,0,0,0,0,102.0793981
2022-09-29 14:53:51.406000+00:00,89.53,180,0,0,0,0,102.6625998
2022-09-29 14:53:51.534000+00:00,89.53,180,0,0,0,0,101.8121037
2022-09-29 14:53:51.662000+00:00,89.53,0,37.818269,-121.292536,0,0.035,101.8607087
2022-09-29 14:53:51.790000+00:00,89.53,0,37.818269,-121.292536,0,0.035,101.5448014
2022-09-29 14:53:51.918000+00:00,89.53,0,37.818269,-121.292536,0,0.035,102.273799
2022-09-29 14:53:52.046000+00:00,89.53,0,37.818269,-121.292536,0,0.035,102.0308043
2022-09-29 14:53:52.174000+00:00,89.53,0,37.818269,-121.292536,0,0.035,102.0308032
2022-09-29 14:53:52.302000+00:00,89.53,0,37.818269,-121.292536,0,0.035,102.225203
2022-09-29 14:53:52.430000+00:00,89.53,0,37.818269,-121.292536,0,0.035,102.2252019
2022-09-29 14:53:52.558000+00:00,89.53,0,37.81827,-121.292536,0,0.035,102.225203
2022-09-29 14:53:52.686000+00:00,89.53,0,37.81827,-121.292536,0,0.035,102.3710001
